id,city,country,street
69,LKFXEXYOYYFRL,HUNGARY,TGAKMQHFYE
70,SHZCDTR,ITALY,LMKAWERPB
71,JVWDFOV,ROMANIA,RVRXAQINZXLLI
72,MFLC,ROMANIA,TH
73,R,ITALY,WJHCPBGJ
74,"",ROMANIA,HFJWMX
75,QWXH,SPAIN,VQRVRABY
76,LFPN,PORTUGAL,OQLXARLVQWZ
77,FAZQDDTC,PORTUGAL,WN
78,SC,HUNGARY,ZWE
79,VTYHZB,AUSTRIA,DRRNI
80,JUQDLRJ,AUSTRIA,EWSPKVYB
81,QE,FRANCE,MXHWA
82,Z,SPAIN,AFED
83,LPSJBWZEJW,PORTUGAL,CHESIWGD
84,OHMPKQYJLGCF,AUSTRIA,FCXFXYKAYMO
85,"",AUSTRIA,AIVQJDUPUVOGXA
86,UBJDEBEKNCJ,ITALY,VP
87,KKLTARVKIIN,HUNGARY,XB
88,NMWSIHUVC,PORTUGAL,AFCY
89,UZKSN,AUSTRIA,AUALDRDHA
90,FJHO,SPAIN,""
91,LPYAD,ITALY,FVIX
92,GZQOLVZRSI,ROMANIA,SVOLGXED
93,ZUTWNAKCEQLGRR,ITALY,ZGKPIZYZ
94,T,AUSTRIA,ZOKDDBTZMNJPJWK
95,FWCSRYMNGKBWVZ,HUNGARY,GAPF
96,OP,PORTUGAL,P
97,EPTD,ROMANIA,FBJYBZZX
98,VUWWMAVHWYCYL,GERMANY,ETEDXTC
99,"",GERMANY,ZOPVWVJFJSHO
100,GBF,FRANCE,RVGVHVQLLCOEK
101,QCMWMM,PORTUGAL,VBAVETCCUZ
102,S,ROMANIA,MEKHXZXONONVFSK
103,SIRJ,ITALY,HBULMVVZFDYYW
104,RLDNBSPSC,AUSTRIA,OBSGRPHVJCOTZP
105,ELR,GERMANY,CUOQCP
106,YKUUJPPR,HUNGARY,YN
107,KO,SPAIN,EPITKZH
108,UL,PORTUGAL,CLOLGQTRI
109,ZQAGYAUAGXYA,SPAIN,GKEBGQLUWB
110,OPRLIUQUJNTB,PORTUGAL,RZPZ
111,KGIUEYO,HUNGARY,VL
112,HOJQUURLGKNND,HUNGARY,OBVY
113,OHWLUHXZVRT,AUSTRIA,XQVOW
114,FRRJQSNK,ITALY,DXRTFPZVSMX
115,T,HUNGARY,RCBBORQVROWH
116,JRK,FRANCE,ESWKZLFDFCBUZB
117,WDSFOSHGHBRINC,AUSTRIA,AYGRCSQYKKSJG
118,QTDCEJYAUKOX,FRANCE,HERL
119,"",ROMANIA,DWKZAVNEL
120,IRP,HUNGARY,TXSRGPVFL
121,XDG,GERMANY,ADRDBGGAYKLMRX
122,"",ITALY,XXYNYOQCCOG
123,OJ,ITALY,WXMLS
124,AWTUF,ROMANIA,JW
125,VJFXBEB,AUSTRIA,NRPNDCVLKYVB
126,BWAKYT,AUSTRIA,FKAFNGOCFC
127,PURDTO,AUSTRIA,""
128,ABQZWAUAUCY,ROMANIA,SGVHJMYASBI
129,IDUNBAIJBGRRN,ROMANIA,KCZGACMFADIFJW
130,UA,ROMANIA,ZVTH
131,N,GERMANY,KXIMQGD
132,BPPBLFRLQBXK,PORTUGAL,OXEHIQODXL
133,EYADGD,PORTUGAL,KQNQW
134,JEDDOIAATZ,HUNGARY,BSMBYGNPTB
135,M,SPAIN,GSOLNYQYPFJDTNY
136,TTXNBIVBFMQDJ,PORTUGAL,X
137,KYBONAZF,ITALY,ZKJQIH
138,LPDCNVGEAR,SPAIN,PXQZWQXXJU
139,TEMWOUKHIMDGQC,PORTUGAL,SUQWFDGN
140,PSV,PORTUGAL,OMBLBIBFYMYOP
141,QQCAUACQXE,SPAIN,FRWCVEBOGG
142,PCEVN,SPAIN,HMYMXWJ
143,UATEBJPCPKN,HUNGARY,DVVY
144,DCYEKP,PORTUGAL,BQMX
145,OUEWHM,HUNGARY,F
146,VFBKRGZUTD,AUSTRIA,TYYF
147,LVXSXLZIYWTZK,ITALY,PRNFPJ
148,NHPNQUVISCYV,ITALY,TZIZZEIOE
149,XGABL,PORTUGAL,GGNU
150,JAESQSXEJGI,ITALY,FXRJNHPCV
151,ZNNFDCXMWSKHF,HUNGARY,UJIDSCDJNE
152,WE,SPAIN,KE
153,LGOYZLDUB,GERMANY,BFEFHDUJQDHT
154,U,SPAIN,OQQOUZPJR
155,VEG,HUNGARY,UOTUZYU
156,YJBOIUPOYW,ROMANIA,U
157,TJHHAACU,ROMANIA,GN
158,LPJHEFVAOZP,PORTUGAL,CSMXYLZLMWP
159,GZETSCPTNV,PORTUGAL,OQJAX
160,LGZIJADRCCP,AUSTRIA,""
161,ZQWGSPJROEJ,GERMANY,HP
162,IHYKWG,HUNGARY,ZQRYFSPUWKUVCT
163,LVHXYQPHT,AUSTRIA,LPDVQ
164,NMZ,ROMANIA,AHFWEEJQRXI
165,PKFMQYHS,GERMANY,EMWBNWW
166,IAYBKHY,ROMANIA,DRNTDVWKKBD
167,IWU,GERMANY,SXIDJGAYLVRFG
168,MEPINYUHSL,FRANCE,TWIRVEWGLI
169,EEDIDXFFQBKNZN,GERMANY,XHONJ
170,XSEXHCSDOIMW,HUNGARY,YNWJJDAKXCJD
171,AXNEAYTQG,ITALY,LLTUWHMMP
172,YBTGMGVT,SPAIN,PZXAMUMAZSOCHG
173,ZITEXMDDA,AUSTRIA,KEVESSEPGJF
174,DRHXCQ,ITALY,L
175,XTNDUIFAGQASF,ITALY,LNRZCLMMTV
176,YKP,SPAIN,GMEK
177,FUKSMVQDQGRYUF,ROMANIA,C
178,GEVYJGWOKCOJAY,HUNGARY,IERSNXVYHG
179,JFUHZXYQUUG,GERMANY,E
180,T,HUNGARY,UHTEVRIJH
181,H,SPAIN,ZH
182,OTPCHEFMJ,FRANCE,GIRTCI
183,AIRNFUVF,FRANCE,WXEEIO
184,FRIVRESJPDA,HUNGARY,AZVNK
185,QLMKCRYGBL,FRANCE,YZ
186,V,ITALY,IAJJ
187,HLNVYXUYJNZCBR,ITALY,YGBRCIDUK
188,DJWTDIRXHE,GERMANY,CDSL
189,PMW,GERMANY,XRGU
190,"",GERMANY,TNDOBWEK
191,OKIE,PORTUGAL,MMIPNHC
192,HO,HUNGARY,AKMTBJC
193,DYUMMNRYHRW,GERMANY,HVGPXRWCF
194,U,AUSTRIA,GJLRMHDKDYDPW
195,YNHKICJDY,ROMANIA,OI
196,QPRNKD,HUNGARY,POVTZPEX
197,AGDPXD,SPAIN,IVMG
198,RXFM,ROMANIA,HGUMMUPKIJI
199,BKKKIQEHFV,GERMANY,HDGIEI
200,K,FRANCE,O
201,QZJRTA,FRANCE,UTBYYFLK
202,OQYUKIBBKYUX,PORTUGAL,CW
203,N,FRANCE,BV
204,IHXEZOOMPORPK,PORTUGAL,OJKGXRUEE
205,MYWLGRT,SPAIN,QANRT
206,NOSHIPMKIT,GERMANY,QCR
207,H,GERMANY,Z
208,AUNVWREZIE,SPAIN,DDUHRBGNF
209,NRYCQMVHW,ROMANIA,VCHKQR
210,SUDDEXOPSMIB,SPAIN,HPH
211,PNZYKQTCQNHO,ROMANIA,ALNHKXUM
212,ZXQTX,HUNGARY,G
213,ECVRWYGDEMGVOZC,ROMANIA,HWLGLCRQQLBKR
214,H,SPAIN,LFHBKO
215,IEXNTQFBXADK,HUNGARY,TNBUVGKWPPFO
216,WKDORCMEVOI,PORTUGAL,KGYQBSU
217,PBENSLGUTM,ITALY,LJUEAHSZTD
218,ZKK,GERMANY,IXHGP
219,LONKHEC,HUNGARY,WADWOCAJT
220,XXGWNKZLTDEX,ITALY,ADRGSOEJS
221,"",ITALY,FPNOEHPECCXXB
222,RYGRQPVVDNUII,PORTUGAL,ITXTLZWMCKNJNM
223,WJZBILUZIC,FRANCE,FZZCORX
224,SJPWRUVI,ITALY,""
225,XBXKX,ITALY,FSFIKFSLVXKMK
226,GUXEIN,HUNGARY,ONCUEJHS
227,VRRDOWGOGWJPL,GERMANY,JKCIH
228,EPWNCHXTWWJNAOB,ROMANIA,XLPPXIWGKZU
229,GJWQRVKU,AUSTRIA,O
230,XRZFD,AUSTRIA,I
231,HW,ITALY,EQTQKEJJAQMH
232,IPS,ITALY,HONDRSMBQBEOU
233,HKCNFSVAEJ,GERMANY,KFYMCZCOREZXEW
234,LSCNOJES,PORTUGAL,OJTJGC
235,HUOHLRWJFB,PORTUGAL,SWRJQDQ
236,KGQ,ITALY,OTT
237,B,AUSTRIA,FRYNSUG
238,KUIUEIVW,SPAIN,FUCMF
239,O,HUNGARY,AICKMHW
240,OMEKLF,FRANCE,IVIX
241,NKTREBLSCGAK,GERMANY,SZAWJZKRVUDOZ
242,LXXYVLHLE,AUSTRIA,KOIPWZG
243,NKFUGGQUQQI,ROMANIA,OP
244,YENRPUKFWQJGH,SPAIN,DDDN
245,MDWOMFVVRFEMD,FRANCE,VJGDDZH
246,LDHQTVWRADLJAS,HUNGARY,WUUYBUXNEN
247,UATWQDMMRMZA,FRANCE,PVGIVDYXYLW
248,NNZILOAC,FRANCE,FUKHQPU
249,JYCRNSHDHVZN,SPAIN,UWGRIBKZ
250,UQQ,ITALY,QLNWC
251,HQZ,SPAIN,MFQKGLZP
252,NQR,ITALY,MNQXGHQGGUOLK
253,TITFQPJZQ,PORTUGAL,DTCRKKLSJMDN
254,ECSMMYZ,ITALY,VEZ
255,ZZTDUPRRJMI,GERMANY,RZTIUC
256,RVPCQ,GERMANY,GVSBIKBKUMRCZO
257,KIDMPNUWJFFM,ROMANIA,SVNRBPHY
258,YRZQT,AUSTRIA,CVWMCPVEV
259,SMV,HUNGARY,WMOSHAXUWFWDDR
260,WGOS,PORTUGAL,UFQFWHFIAOZIFFU
261,ZCUSUJXOMMYXQB,PORTUGAL,KGAB
262,VBYDVTES,HUNGARY,GVKVMMAI
263,ZWGBQMNGEENNHV,HUNGARY,NYSPETYNMVTAD
264,TQPNIA,AUSTRIA,RVKNZ
265,C,PORTUGAL,EFPSUCC
266,ENLQ,PORTUGAL,LC
267,SLJUSBXSE,FRANCE,GEWQRNKN
268,HAGLJSHC,HUNGARY,TEOHBKQYMPTNG
269,IUWSSNPEUUCSDU,PORTUGAL,MVZFT
270,LDNPIXCYXB,SPAIN,JZRCKZJCRST
271,SFMPDYNDHZAV,ROMANIA,BUZBQ
272,CSMYGRH,GERMANY,FFDDJ
273,YMLZJOCBIRV,FRANCE,JIYUSMCZBXFZWA
274,MLQYH,GERMANY,UEPFMB
275,EEFXVVKGSKD,ROMANIA,LATBPKB
276,D,GERMANY,ABJJWAI
277,DNN,PORTUGAL,N
278,KGXMEYT,FRANCE,NVIWTOAPVU
279,IFU,ITALY,BB
280,HRABYAQIDLTSE,FRANCE,JNBSSD
281,SIFVESB,SPAIN,AAK
282,YFQSOGRLNEDAWQ,GERMANY,PTROVRSMD
283,YLBLRAMRZEO,HUNGARY,BAAEJTOIYEZA
284,POXMDFWXES,ITALY,BGWBRLEPWKLRPQ
285,D,AUSTRIA,UCIVKIXQRW
286,M,AUSTRIA,KBTEHDOAKBZ
287,AEMODGYLMF,GERMANY,X
288,BII,GERMANY,TBRZ
289,Z,ROMANIA,VVPYJHVTHTQPOQC
290,"",PORTUGAL,QNTRICPKYJGRC
291,BCYECMKZLKG,ITALY,BTEHI
292,PBCCBSZIAXIE,PORTUGAL,QIPOIOSBCJUGERA
293,EFAZDGGJ,FRANCE,BPPXRJB
294,SEWQSRS,ROMANIA,GXEXEQX
295,BQALXY,GERMANY,QLSKAC
296,HSJNC,AUSTRIA,SK
297,LATRLJXAXTP,AUSTRIA,TV
298,YZQMSQCCDKZT,AUSTRIA,CAAINFRUM
299,PHWEVSEYIAD,FRANCE,GCBHIXEO
300,FIVSMUN,HUNGARY,ROKCSSV
301,GXKUEFDGC,HUNGARY,SSEPNRMKZG
302,IRPLYDWE,ROMANIA,WHBXRDQHHUOSRN
303,DUTNFFUCECJVOE,FRANCE,IXITYPCSE
304,CPQPYT,AUSTRIA,USLIAN
305,XRSTRUGE,SPAIN,VTBMUCIHLVGUCI
306,NKLVEHMTFG,FRANCE,ITQCVBZZJFEI
307,JQYJBSLJCDHYXY,ITALY,""
308,DXFFWRJE,HUNGARY,TYN
309,RFMLXOINCPI,ROMANIA,QLXNIDLTRVY
310,BEC,GERMANY,JXHMM
311,PD,ITALY,PKII
312,CPGXYCQD,ITALY,D
313,FKSMG,SPAIN,OHWEQB
314,XULSWBVRPVYEVY,HUNGARY,MJH
315,NP,SPAIN,FCWHIQSF
316,VOABM,GERMANY,XQIUANQSPW
317,JBPZFWODE,SPAIN,MT
318,YOCXPEJQI,SPAIN,BQBNSBSKUNRBR
319,GBTMZMBFGYRCGR,AUSTRIA,VNQYP
320,XGMEY,FRANCE,QSJHRKWJWI
321,TOVZPPZZZITEET,FRANCE,ZUK
322,IHMNUKPT,HUNGARY,YKYHZLT
323,HQXKNQTLBIW,ROMANIA,YHAJSY
324,WEIBY,ROMANIA,""
325,FXGWHBG,HUNGARY,WFALYJMUUAAGTV
326,EVNK,ITALY,RI
327,GXCGXIDGMTUE,ROMANIA,BUQIMSXK
328,IHSD,HUNGARY,JJNOZRNKPZ
329,P,HUNGARY,VO
330,NPOMOMWAPCFSM,GERMANY,SJ
331,WVGS,PORTUGAL,VF
332,SLRSNXF,ITALY,JCOAMRDIXMO
333,BRMDJKESSZPB,HUNGARY,TPULEQNRXH
334,BREBCKBVEAZDKS,HUNGARY,CVPN
335,SXSIDIJ,PORTUGAL,AKTX
336,QVHS,ROMANIA,RVY
337,OHEFOCOX,SPAIN,CJSNCCOAFCTMMDQ
338,CYCKSYSLOWVZSP,GERMANY,OK
339,ZH,FRANCE,XFPAPJWJ
340,TUB,PORTUGAL,XWUGK
341,PZRRFIUNVLCOYSG,HUNGARY,IMXI
342,GBKYBQG,FRANCE,LCVOCIGPILOIMU
343,LSWW,AUSTRIA,F
344,FTYHSBUOWKS,SPAIN,DVQBMXZLM
345,YZ,HUNGARY,ANPMUGSLLHMDAB
346,HXCFKZUPNNME,HUNGARY,DVOOA
347,THMSJ,GERMANY,SVNVGZQB
348,VIRYNBQLPAZL,SPAIN,GIKNYNYTSNMGW
349,PHHAHYDVLQYHUU,HUNGARY,KJMAXH
350,EDPGZMWTAXAWOC,HUNGARY,ZI
351,FA,ITALY,DWOBY
352,BFWMAPJVUE,SPAIN,RWISJUPEDX
353,X,FRANCE,YIJFBARKXJX
354,XRQ,SPAIN,TX
355,CQNGZOQBNFW,ROMANIA,BZCOMLMHQLAB
356,XCFDBD,FRANCE,AQOZDCYUQGZSMO
357,TEWEFJOTOZVEUG,ROMANIA,GETME
358,H,FRANCE,XWC
359,L,ROMANIA,PETN
360,"",PORTUGAL,QQZIKJQBNTMMRY
361,OWJSQKOE,PORTUGAL,FVZEMCXVC
362,VXONUNN,HUNGARY,FYMBEXTNG
363,FG,ROMANIA,HEURYB
364,M,GERMANY,R
365,AXOFUS,HUNGARY,OIXLOAWDCQGH
366,DJGXEVUSLMWRT,SPAIN,""
367,FGNJXLTPRLFFPZ,ROMANIA,ZUHFIACDSH
368,R,ROMANIA,WCVKNEKWJ
369,YD,HUNGARY,FLDDQYNSNAYRWJK
370,QGPPGETFKIVFO,GERMANY,GQZOXPAXNFZ
371,ZFVN,HUNGARY,RLGVAGDUYUOF
372,QXEOXVDEDRPLPY,PORTUGAL,LZMPJBAVNIQPJR
373,AXTX,HUNGARY,KSFMXNFSNBM
374,CAJM,HUNGARY,OGDTBFRFLAD
375,RWEPMAVHTMB,GERMANY,LDHA
376,TPFT,SPAIN,ZKTAJ
377,SYGWCQWVRF,FRANCE,SHCHBJNOV
378,KSJJRRNSEKPJ,FRANCE,METEFLC
379,FE,SPAIN,KQP
380,B,ROMANIA,KLHXXJLJHBPY
381,ZDU,PORTUGAL,DMC
382,ZBGIWZVGQIXQ,HUNGARY,XMTHCRXT
383,STQVFWVDZRBOLJ,PORTUGAL,XZYQQCRSR
384,ZVMGFYPGXAX,PORTUGAL,VECTB
385,RRGFCL,FRANCE,I
386,DJQLQTQET,ITALY,VOX
387,QFMSAA,ITALY,XAUHU
388,LYFRDX,ROMANIA,ODMFSPXPPAFY
389,JJWCHIXLPJGT,ITALY,GRGU
390,ZVWLMDCC,AUSTRIA,HYPEYIF
391,F,SPAIN,A
392,JOKABFAWVEBOX,HUNGARY,SMMA
393,ZSZCSLQMB,ITALY,ZPKCIYBDTVF
394,"",GERMANY,OUQSTVXENH
395,RLHNXPWXN,GERMANY,KBTNWWDA
396,PATEQAUDPJYUW,PORTUGAL,LLZMLWUO
397,FI,FRANCE,VTEOA
398,ZF,FRANCE,H
399,"",ROMANIA,BMGFKN
400,OOF,ITALY,FCCTDAVXJY
401,VQIPDLFKXM,ITALY,DKLTEM
402,SHZENDEU,FRANCE,IQLLXG
403,WYTFRJE,GERMANY,PQFRNU
404,F,AUSTRIA,JLXEN
405,WLZPEE,FRANCE,VGMXV
406,RA,PORTUGAL,OFYVZXSSS
407,ABC,ROMANIA,JUEI
408,TXXIEDHKRYQJMR,FRANCE,GB
409,TJNOTTHVEEZN,ROMANIA,IDZWVPGWH
410,XGHCAVJ,GERMANY,AJ
411,RRLPS,FRANCE,SZEJX
412,RODEMQAMKRMI,AUSTRIA,PTJBFHZBMUCW
413,CKWGVOHBLD,ROMANIA,F
414,ECMFTHNE,HUNGARY,""
415,VZ,SPAIN,BBBPKRIZTRR
416,OUIDGQ,GERMANY,RCRVDXRFDUE
417,"",HUNGARY,GJPGVQNMN
418,JTJUNJVFF,AUSTRIA,UKMLG
419,YRBZKTM,HUNGARY,DDZQWTJBIGLKL
420,K,ROMANIA,JJ
421,PMBBY,AUSTRIA,SUMZ
422,KU,ITALY,NCJFRYIPV
423,TQJVBZTNXT,AUSTRIA,KDDKNMBDTRAP
424,EAXKMDMXQW,AUSTRIA,KZO
425,BCMVNJ,AUSTRIA,VXZCRGMNIUUZIG
426,EKQDBHPFXON,HUNGARY,UAAPDHVGZHQUP
427,YCNMKNHW,AUSTRIA,HTQ
428,IGS,FRANCE,CSBMDDEFV
429,IHNOS,ITALY,BUIZOAUBIADRJ
430,LBYDQPVXC,SPAIN,ZHJANUVQO
431,KRMTRBWR,ROMANIA,XKTYEK
432,DFIIJ,ROMANIA,HCNXDLKZQJCL
433,RAOSAYNKDH,GERMANY,VEX
434,BFEKUVF,SPAIN,YAWBPJYLTKHY
435,BFOIEEF,FRANCE,""
436,CG,PORTUGAL,IEZYVSRAIXE
437,KNBVSOAHRWZAU,HUNGARY,XUHLOWR
438,I,ROMANIA,EOTGWP
439,YDLXAISLWJT,FRANCE,WNM
440,FILOQMJ,GERMANY,PPFMXVIZIQRYNB
441,PDGYBOOENJCFJ,HUNGARY,Z
442,UH,AUSTRIA,QOVHFU
443,MMTUYNXRCNOAU,ITALY,QOEWQGW
444,AJXPXUGPDHIGHSH,AUSTRIA,JFZZEXQFY
445,LDFYU,FRANCE,BDTGO
446,UMJVBMNNYFOM,ROMANIA,QJW
447,DLTCPTO,SPAIN,QNPYEB
448,ETMJBVFNVWI,PORTUGAL,Z
449,PFZKGQVXVBMYPI,ROMANIA,CEVBGGVTPWV
450,W,ITALY,WVHRVVGBBAUDY
451,XORWHOPZILLPO,FRANCE,IMKSMCCMWKL
452,UALL,GERMANY,UK
453,BWPSQHSHJF,SPAIN,EMGCFOXSCFIK
454,IRXT,SPAIN,UTVYFOPUZIT
455,O,PORTUGAL,VDDCAHVD
456,RPPXAF,FRANCE,ALEWUL
457,XBWVTNE,PORTUGAL,HVLKDWC
458,GMPZCA,AUSTRIA,L
459,TC,ROMANIA,LPPASD
460,YAEUS,FRANCE,TORLVEFBQOL
461,EQKBAKSZHPHLO,PORTUGAL,XGZWS
462,X,SPAIN,SVW
463,QVMJALONJ,ITALY,WSSWPRMJNRFRU
464,JKBABDCQRYCUOA,SPAIN,EIDKBYJWA
465,ZFYSZHWSUCSXYW,GERMANY,DXCBTNP
466,EY,PORTUGAL,QRXOOHP
467,MCWWSPIY,GERMANY,KJ
468,Y,HUNGARY,ALCAUWRBUNU
469,COKLHDXB,HUNGARY,GXLYUSAUB
470,FYJB,HUNGARY,UNRDSPAMYV
471,"",FRANCE,X
472,KVUBQUBVTWBF,PORTUGAL,PRYLTMAOKU
473,DIFIFUITMDBGPQ,ROMANIA,UXBOWTWW
474,WIGHQ,PORTUGAL,GOSM
475,FXSQETUZ,SPAIN,VTTNGNZKMQOVV
476,WULMFUBIA,HUNGARY,TQ
477,ASGZ,ITALY,OKIWL
478,LQXPRAP,FRANCE,BAI
479,NMSHSOP,HUNGARY,MHMBH
480,L,FRANCE,""
481,YHNWXDZJGPGC,HUNGARY,GW
482,BJGVMBB,SPAIN,GPCLTMM
483,QPTHHLEUVLSG,ROMANIA,ENMWBCEC
484,UQCMBTCNYNP,GERMANY,SMU
485,YHRGOFET,ITALY,UAQLA
486,SJIQFTFEYH,PORTUGAL,JTIIWVVVAICU
487,OSIWTFWKZ,HUNGARY,DV
488,OBV,ROMANIA,U
489,GUINEXXHKS,ITALY,USMJPYTGFVN
490,YXISC,HUNGARY,WE
491,YTPMSEA,SPAIN,QFOCUWSYUP
492,KLQVHWSZKG,ROMANIA,CE
493,BRNOTETZ,AUSTRIA,ZCDRAIJBKQIAMY
494,OIOIRU,GERMANY,YUAIDXGIN
495,BN,HUNGARY,ZVBLOR
496,LTBHYLBXEAJ,ROMANIA,WLNJFCDUHBG
497,"",SPAIN,TKZSBN
498,C,PORTUGAL,OZPNBF
499,WBGU,SPAIN,VX
500,QKLJQ,ITALY,YWOZHGEFBSWW
501,K,PORTUGAL,SCHBVAK
502,TOXAWGAJMQYJLO,ROMANIA,EBLEUXYSVWVG
503,GWMNWC,ROMANIA,EVAJTFPUCMQR
504,QPC,GERMANY,JVNTVUQUQGKYWE
505,C,ROMANIA,QRAPUSY
506,NWM,FRANCE,S
507,CQILGGZ,SPAIN,S
508,NMSH,GERMANY,NPOACTL
509,WRGKZWYGQMJJF,ROMANIA,NQYQNNUO
510,CSIPVKO,SPAIN,FNZJYUV
511,CYDU,ITALY,LNJQKQAWD
512,DYTFIY,GERMANY,EZNOYDYG
513,QHXCONOTS,GERMANY,BNOGPGO
514,CU,ROMANIA,VLKUENVUS
515,PV,SPAIN,BXIXVL
516,AHQHYBFAWMA,AUSTRIA,QBIUIQZLBCZQX
517,MYRLUZK,SPAIN,NWLWEOSCHRRS
518,XYKGMYUG,SPAIN,YGS
519,DJGYTVXE,SPAIN,UXFLPANUJOFLCC
520,WMUMSINODF,SPAIN,MTFRZAMGPFDKIRC
521,VXXOQAQ,HUNGARY,BTLEYTBLBZ
522,XLZEEIYIJYO,PORTUGAL,BMVLRQ
523,XFMOF,ITALY,MPNDGIYEQUG
524,GRE,FRANCE,GWSYVPFYRNA
525,BXTVM,FRANCE,MSIEG
526,JVZFPQZXBK,AUSTRIA,QUWMWUTEP
527,GHM,ROMANIA,BCGTVJKLBB
528,NPPRNJATKL,HUNGARY,ILOKZYDYNGYGT
529,OOUTLZJTTFP,ITALY,EL
530,ARXBFZQMV,PORTUGAL,YIWHAZWVPCGPJQ
531,EN,SPAIN,YSOYJYF
532,LAUMBFZDV,ITALY,DPJMQPFCBI
533,SDU,FRANCE,IV
534,OKVG,ROMANIA,EBBAUPQP
535,ATCTGUB,HUNGARY,MNDAGMU
536,KKYHIUJQ,HUNGARY,YWX
537,KVRXXAHZKOADB,ITALY,NCIF
538,ZYS,GERMANY,GZDBGBAKWDUXTA
539,OFKXBTO,GERMANY,AWWGHVIWTNMHF
540,AQCUYFAF,FRANCE,T
541,DRPSOWSJWSBD,PORTUGAL,KFUTPWJLNVPJH
542,QVXA,FRANCE,NAUUJ
543,EZNLHXBKLJR,SPAIN,JIHHTNVIAUF
544,ICGSQA,PORTUGAL,SMTPNFEJB
545,VMLVOGGSYVUABZ,ITALY,TTSNGC
546,VYEKAPSPPKY,ROMANIA,TBQ
547,RQFIUZ,ITALY,KJPQCY
548,OWIYDKCHH,GERMANY,IGAFTSZHZI
549,ZWRSPNPRF,AUSTRIA,TXWRIVJID
550,VZB,ITALY,PSWNAG
551,BC,ITALY,WVTYBGYAFMLLO
552,JBMNVMCMQNLILI,AUSTRIA,PIOIFB
553,VXPJWFINF,SPAIN,DAEU
554,PLJGUYZRQPJL,ROMANIA,PFSQKEIYWP
555,LPTNSBMWPFX,ITALY,PDALZBWKNEOSM
556,XUDOX,HUNGARY,LT
557,FMZKTEULQ,FRANCE,IHEXHIUDNSVBRNX
558,"",GERMANY,RRDKRCCODFSJ
559,RJQUPOJ,GERMANY,DUNQ
560,AQOGCOCEHO,AUSTRIA,IJ
561,SIOHEOET,GERMANY,FDLJSLXNCMT
